,comment,Label
0,Keren anggota dewan nya perempuan ğŸ”¥,pro
1,Tolak RKUHP,kontra
2,"Perempuan"" hebat yang mampu menginspirasi dunia, saya sangat setuju bu puan bahwasanya perempuan dan laki"" harus bersama membangun bangsa dan negara yang kita cintai ini â¤ï¸",pro
3,"Peran perempuan dalam dunia politik sangat dibutuhkan, karena sejatinya banyak perempuan"" hebat yang mampu membawa perubahan di negaranya masing"", di Indonesia hari ini kita memiliki Ibu Puan yang menjadi ketua DPR RI perempuan pertama",pro
4,terbaik deh mbak puan,pro
5,Sabutannya sangat hangat ya bu,pro
6,Peran perempuan dalam perdamaian dunia ğŸ”¥,pro
7,Perempuan dan laki2 harus bersama dalam mmbangun bangsa dan negara setuju skli ğŸ”¥,pro
8,Emg the best bgt sih bu puan ini,pro
9,#semuabisakena #tolakrkuhp,kontra
10,â¤ï¸â¤ï¸â¤ï¸,pro
11,Perwnvperempuqn baik divdlm negeri maupun di dunia internasional hrs makin menibgjat dlm berbagai aspek. H,pro
12,â¤ï¸,pro
13,ğŸ‘â¤ï¸ğŸ‡®ğŸ‡©ğŸ™‚ğŸ’™ğŸ‡§ğŸ‡­ğŸ”¥,pro
14,wihhh perempuan memang hebat ya mbak puanâ¤ï¸,pro
15,â¤ï¸â¤ï¸â¤ï¸,pro
16,â¤ï¸ğŸ˜â¤ï¸,pro
17,Selamat bersilaturrahmi kedua negara. sehat selalu tuk smeuanya.,pro
18,Memang bener tuh setuju bgt perempua dan lelaki hrs membangun bangsa dan negara,netral
19,Wah keren juga ya Qatar dah byk perempuannya yg berperan di institusi publik.,pro
20,Wah hebat ya jadi wakil ketua Dewan syuro qatar klo bu puan ketua DPR RI menurut saya sangat hebat,pro
21,â¤ï¸â¤ï¸â¤ï¸,pro
22,ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•,pro
23,Emansipasi perempuan mendunia. Mudah mudahan Qatar menjadi tempat nyaman perempuan dalam membangun bangsa dan negara,pro
24,ğŸ¤—â™¥ï¸,pro
25,BismiLLAH saya siap dukung Mbak Puan,pro
26,Peran perempuan dalam perdamaian dunia. ğŸŒâœŒğŸ¼ Mantep ğŸ™Œ,pro
27,Bismillah semangat ğŸ”¥,pro
28,Bismillah Mbak Puan ....smg Allah meredhoi,pro
29,mantap bu. setuju.,pro
30,"Ayo kak sudah waktunya cuci kasur nih agar tidur kita nyaman & sehat terhindar dari debu dan tungau yang menyebabkan gatal dan tidur tidak nyaman. 
Jasa kami aman dari bahan kimia berbahaya, tidak membuat furniture kk luntur
Jadi jangan takut ya kak untuk menggunakan jasa kami, layanan kami tersedia untuk sejabodetabek, ayo kak jadwalkan pencuciannya sekarang, TERIMAKASIH.",netral
31,Hebat bu Puan...sy pernah ke Doha kotax bersih bgt..kosong bagus pendudukÂ² tak kliatan...beda bgt sm kita hehe,kontra
32,di arab sekarang semakin bagus  semenjak di pimpin putra mahkota  pola pikirnya semakin maju kesetaraan gender sudah berlaku emansipasi wanita ğŸ‘ğŸ”¥,pro
33,Bu @puanmaharaniri pip yang kemarin kira2 bisa lanjut ngga y,kontra
34,Alhamdulillah,pro
35,"mashaallah Qatar dah modern ya, wanita menjabat sebuah jabatan bukan lagi hal yang diperdebatkan",netral
36,ğŸ‘â¤ï¸,pro
37,ya salah satunya ksmu,pro
38,Heuuuuum,netral
39,keren nih perempuan2 hebat.,pro
40,keterlibatan perempuan dlm jabatan publik sgt ptg tuk terus digelorakan.,pro
41,perempuan2 hebat.,pro
42,setuju bu @puanmaharaniri perempuan dal laki2 hrs bersama2 membangun demi kemajuan bangsa.,pro
43,ğŸ‘ŒğŸ‘ğŸ‘ğŸ˜ŠğŸ’—ğŸ’—ğŸ’—,pro
44,ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜,pro
45,ğŸ‘ğŸ‘ğŸ”¥ğŸ”¥,pro
46,Salam bu sehat selalu ğŸ™ğŸ¤Ÿ,pro
47,Trs dan trsvtingkst hub persahabatan kedua negara demi kemajuan bangsa.,pro
48,"Harus terus d tingkat kan lagi persahabatan Antara Qatar dan Indonesia ya Bu , saya salut liat nya",pro
49,Mantap. Tingkatkan trs hub kerjasama kedua negara.,pro
50,"46 tahun hubungan kerjasama bulanlah waktu yang singkat, semoga kedepan masih terjaga hubungan kerjasama ini. Sehat"" selalu ibu puan dan dilancarkan dalam kunjungan kerjanya kali ini",pro
51,sehat selalu ya mbak pmâ¤ï¸,pro
52,Qatar sbg salah sayu negara di Timur Tengah yang menjadi tuan rumah penyelenggara FIFA World Cup 2022. mantap,pro
53,"Semoga hubungan kedua negara ini terus langgeng ya bu puan, dan semoga membawa manfaat bagi kemajuan bangsa dan negara",netral
54,Selamat mempererat hub dan kerjasama kedua negara Indonesia dan Qatar. semoga makin erat akrab dan juga memberikan kemajuan tuk kedua negara. Salam.,netral
55,Persahabatan nya antara Qatar dan Indonesia cukup lama skli ya Bu 46 tahun,pro
56,Persahabatan kedua negara dan sekaligus hub kerrjsama bilateral min erat dlm meningkatkan kemajuan kedua negara. Sehat selalu tuk Bu puan. Salam,netral
57,Indonesia dan Qatar dua negara yg sgt akrab dlm pershabatan. semoga makin erat dan juga kerjasama dlm berbagai bidang demi kemajuan kedua negRA TSB.,netral
58,Salut bu puan,pro
59,Udah lama jg ternyata hubungan Indonesia-Qatar ya bu PM semoga langgeng terus,netral
60,Pertemuan antar dua negara ini emg harus tetap terjaga ya bu puan,pro
61,Hubungan Diplomatik dan mitra antar negara Indonesia cinta Damai.â¤ï¸ğŸ˜â¤ï¸,netral
62,mantap. terus tingkatkan lebh erat lagi dlm persahabatan kedua negara.,netral
63,Sehat tuk semua. Qatar tuan rumah Piala Dunia 2022. keren dan mantap.,netral
64,"Lama skli ternyata ya Bu puan 46 tahun , keren si ğŸ”¥",pro
65,tingkatkan persahabatan kedua negara demi kemajuan bangsa.,netral
66,"Semoga Allah SWT selalu berikan Kesehatan buat Mbak Puan, sukses selalu...",pro
67,Mantap si Indonesia ğŸ”¥ğŸ”¥ğŸ”¥,netral
68,Glory glory ibuğŸ‘,pro
69,ğŸ˜ğŸ˜,netral
70,Sehat selalu ya bu puanğŸ™Œ,pro
71,Bravo Qatar. Sukses piala dunianya. Semoga Indonesia bisa mengambil sisi positif dari pagelaran dunia ini. Tahun depan Indonesia jadi tuan rumah piala dunia U20,pro
72,ğŸ‘ğŸ‘ğŸ‘,netral
73,Selamat datang di Qatar mbak puan,pro
74,hubungan diplomatik Qatar-Indonesia,netral
75,mntap bgt si emng bu sudah 46 tahun indonesia,netral
76,Mantap bu puanğŸ”¥,pro
77,mbak puan dukung negara mana ya Piala dunia 2022,pro
78,ğŸ˜ğŸ˜,netral
79,ğŸ‡®ğŸ‡©ğŸ®ğŸ‡§ğŸ‡­,netral
80,â¤ï¸â¤ï¸â¤ï¸â¤ï¸,netral
81,PUANku... Lopyupul... â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸,pro
82,tingkatkan terus bu @puanmaharaniri  dalam kerjasama dg Qatar demi bangun negeri,pro
83,ğŸ˜â¤ï¸â¤ï¸,netral
84,L1,netral
85,ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘â¤ï¸â¤ï¸â¤ï¸,netral
86,Opose,kontra
87,krudung nya mana bu,kontra
88,"di arab sekarang perempuan sudah di berikan haknya bisa menyetir mobil , ikut militer , buka cadar dan berdagang luar biasa , berbusana bebas yang penting sopan ğŸ‘ğŸ‘",netral
89,"Calon presiden Indonesia, yesss",pro
90,"Yth:Bu Puanmaharaniri maaf mengganggu,saya mohon bantuannya saya minta Set Top Box dong buat bisa nonton tv buat hiburan,  karena tdk ada gambarnya,terimakasih sebelumnyağŸ™ğŸ™ ,saya di solo.",kontra
91,"Wah udah lama banget hubungan manisnya, duh ga sabar lihat kerjasama budaya Indonesia - Qatar 2023 pengen hunting hijab eui",kontra
92,Mudh2n dengan hub yg baik bisa saling berbagi demi kemajuan bid ilmu,netral
93,Banyak manfaat kalo hub sdh terjalin baik,netral
94,Apalagi oertaniannya.. Keren gurun bisa utk pertanian,kontra
95,Alhamdulillah bisa bersilahturahmi buk PM dngn ketua syuro,netral
96,ajak kerjasama yg baik di segala bidang,netral
97,ğŸ‘ŒğŸ’ŸğŸ’,pro
98,Ekonomi kerakyatan patut trs diberdayakan demi meningkatkan kesejahteraan rakyat.,netral
99,Perkuat umkm supaya banyak pengusaha ekonomi indonesia maju bu pm,pro
